               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099934,            0.037591,            0.029659,             0.55316,             0.32171,            0.067256,            0.023543,            0.072832,            0.038437,            0.016355,              0.0784,              0.0024,              0.0024
                   1,            0.074654,            0.037281,            0.012423,             0.90185,             0.49031,              0.5221,             0.14943,            0.071563,            0.030099,           0.0070221,            0.055415,           0.0044149,           0.0044149
                   2,            0.066629,            0.030529,           0.0074827,             0.93344,             0.49612,             0.63617,             0.32992,            0.060706,            0.023963,           0.0035106,            0.031935,           0.0059348,           0.0059348
                   3,            0.069486,            0.025464,           0.0063638,             0.44499,             0.64697,             0.47676,             0.11588,              0.0634,            0.020211,           0.0032674,           0.0079597,           0.0069597,           0.0069597
                   4,            0.058526,            0.023221,           0.0058076,             0.88712,             0.87219,             0.91707,             0.38889,            0.050088,            0.018659,           0.0030727,             0.00604,             0.00604,             0.00604
                   5,             0.05488,            0.020822,           0.0042584,             0.71404,             0.81839,             0.78563,             0.37059,            0.048533,            0.017185,           0.0026516,             0.00604,             0.00604,             0.00604
                   6,            0.047769,            0.018712,           0.0039519,              0.9291,             0.60745,             0.79979,             0.48427,            0.047829,            0.015352,           0.0023679,             0.00505,             0.00505,             0.00505
                   7,            0.042002,            0.017367,             0.00393,             0.97821,             0.96878,             0.97749,             0.54002,            0.035923,            0.015162,           0.0024724,             0.00406,             0.00406,             0.00406
                   8,            0.035481,            0.015752,           0.0030025,             0.95785,             0.98441,             0.98026,             0.62999,            0.030225,            0.014484,           0.0023187,             0.00307,             0.00307,             0.00307
                   9,             0.03087,            0.015599,           0.0029607,              0.9779,             0.99009,             0.98658,             0.66545,            0.026659,            0.013761,            0.002132,             0.00208,             0.00208,             0.00208
